Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
114.815,368,114,822141649,base_link,-0.04194501886035685,0.00043927039511963066,0.045754830964255366,-0.9980715995747783,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5025745034217834,0.03979847952723496,-0.59183269739151,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.298246681801992e-15,10.60098865,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.065,369,115,72231210,base_link,-0.10802112838289941,-0.012070995309698707,0.13733500040966395,-0.9845429521141249,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4196169376373291,0.11841946095228185,-0.8223944306373596,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.3030505548151354e-15,10.64021525,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.315,370,115,322291726,base_link,-0.09407914953330307,-0.02093663034992404,0.2450850883633932,-0.9646989533500017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3385094404220581,-0.1919408291578294,-0.9315477013587952,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.3342757294005673e-15,10.895188150000001,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.565,371,115,572377717,base_link,-0.04429672578025562,-0.011848571455498507,0.36209166197871856,-0.9310139847312187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.27421852946281433,-0.26054394245147716,-1.0085036754608154,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.009806650000001348,11.0030613,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.813,372,115,820437858,base_link,-0.012184658519667654,-0.0007418060072200606,0.4792358939005795,-0.877601243058554,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10757020860910416,-0.15823064744472518,-1.0643562078475952,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.019613300000001332,10.87557485,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.063,373,116,70520291,base_link,-0.0006095121053260436,0.0046468781033514265,0.5930860187349909,-0.8051254619001712,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.021033599972724915,-0.043922826647758616,-1.070678949356079,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.029419950000001326,10.8265416,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.313,374,116,320574064,base_link,0.005923509244849345,0.01072000294542838,0.6681558777137347,-0.7439205042554375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.01070841122418642,-0.12394607067108163,-0.6530764102935791,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.00980665,0.029419950000001298,10.60098865,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.565,375,116,571657452,base_link,-0.014467385348284867,-0.021012977002456558,-0.7109093312095296,0.7028207967596704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002640583086758852,-0.07692793756723408,-0.35128816962242126,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0196133,0.029419950000001235,10.091042850000001,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.815,376,116,821710865,base_link,-0.017061746300407726,-0.02485092415071149,-0.7322511853515707,0.6803672022762821,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.001158899161964655,-0.0008824828546494468,-0.1814856082201004,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0196133,0.019613300000001162,9.5124505,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.065,377,117,71792220,base_link,-0.01574648648209699,-0.0232917999923748,-0.7427385802912918,0.6689909876548868,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.007474581245332956,0.03489768505096435,-0.08278021961450577,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0196133,0.019613300000001114,9.1201845,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
