,time,pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w
0,114.689,24.99092364056613,-0.0558324348731628,-0.3572445866811395,-2.5909422294918996e-10,-1.1647598869109388e-07,0.9986668148161921,0.05161969570685107
1,114.949,24.990897096814713,-0.05595173632614738,-0.3572445870227628,-2.53104409416839e-10,-1.1648092517267659e-07,0.998661126081602,0.05172963612295602
2,115.197,24.990870525948072,-0.056071022525377524,-0.3572445873653707,-2.4655343363958344e-10,-1.1648576422318256e-07,0.9986554255535786,0.05183956994794118
3,115.443,24.99084392797691,-0.05619029344523748,-0.3572445877084976,-2.404300028674501e-10,-1.1649079078787484e-07,0.9986497132347101,0.05194949717001856
4,115.69,24.990817302909228,-0.05630954906221811,-0.3572445880526014,-2.3376196188093253e-10,-1.1649572521588502e-07,0.998643989127952,0.052059417770438474
5,115.956,24.990790650755784,-0.05642878935078021,-0.3572445883972315,-2.2750492663430342e-10,-1.1650084260861394e-07,0.9986382532359106,0.052169331737293344
6,116.203,24.99076397152458,-0.056548014287403,-0.3572445887428308,-2.207192645725422e-10,-1.1650587284792635e-07,0.9986325055615471,0.05227923905197118
7,116.45,24.990737265226354,-0.056667223846603464,-0.3572445890889639,-2.143286024566296e-10,-1.1651108173121695e-07,0.9986267461074839,0.05238913970247416
8,116.697,24.990710531869208,-0.05678641800486428,-0.3572445894360587,-2.0742475325914192e-10,-1.1651620827949687e-07,0.998620974876691,0.052499033670286285
9,116.944,24.99068377146388,-0.056905596736774956,-0.35724458978369417,-2.0090040513951657e-10,-1.16521509289623e-07,0.9986151918718088,0.05260892094328432
10,117.191,24.99065698401852,-0.05702476001880505,-0.3572445901322844,-1.9387777360799882e-10,-1.165267326516158e-07,0.9986093970958139,0.05271880150308458
11,117.439,24.990630169543866,-0.057143907825608284,-0.3572445904814222,-1.8721974610871937e-10,-1.165321264372829e-07,0.9986035905513628,0.05282867533747679
12,117.705,24.99060332804813,-0.05726304013365246,-0.35724459083150756,-1.8007784654433015e-10,-1.1653744714804946e-07,0.9985977722414398,0.052938542428178526
13,117.952,24.990576459542016,-0.057382156917654886,-0.35724459118214713,-1.7328603947141395e-10,-1.165429343688996e-07,0.9985919421687194,0.05304840276286907
14,118.199,24.987709776079416,-0.05719726064516821,-0.35724459559403227,-1.431662654900473e-09,-1.4322490319211563e-07,0.9985867409208244,0.0531462214753371
15,118.446,24.946161246243562,-0.05287433281413899,-0.35724482748296715,-2.287432482798101e-08,-5.363035032725502e-07,0.9985838762404738,0.05320001985208353
16,118.693,24.832038691798004,-0.04076686231931374,-0.3572468898259994,-7.191377444634706e-08,-1.3964769916564056e-06,0.998582955880618,0.05321729251636711
17,118.941,24.635203661447807,-0.019739589487859536,-0.357253230490056,5.813165992949585e-06,5.154488110587113e-06,0.9985836440384467,0.053204377625674065
18,119.189,24.35545074547823,0.010251375193782478,-0.3572451850531977,-5.4861668314424604e-08,-6.91527948449438e-07,0.9985873184822434,0.053135368314911884
19,119.454,23.995864720971074,0.048621088262103686,-0.3572525950975288,5.095647388239632e-06,8.514841426370749e-07,0.9985883358165245,0.05311624557979711
20,119.7,23.56098922215846,0.09495114338995178,-0.3572486003516445,3.1815079455850583e-07,1.8535088599970787e-06,0.9985876996215095,0.053128204948833725
21,119.946,23.054427026446177,0.14907165787276552,-0.3572505604742058,3.309438145597333e-07,3.638998973140333e-06,0.9985900759143765,0.05308352166131921
22,120.193,22.479099380230817,0.21036546252408297,-0.3572490830431163,1.8626003790381344e-08,1.3899635029884665e-06,0.9985878208741782,0.0531259258726664
23,120.442,21.83781848783418,0.27884331234923787,-0.3572464558199684,1.7945964408827174e-07,1.189138507324686e-06,0.9985887427212968,0.05310859543288466
24,120.689,21.133490175607566,0.3540106213786683,-0.35724839340764414,5.571692703876796e-06,-2.5673366408089075e-07,0.9985853169885232,0.053172969296637784
25,120.955,20.36753504089497,0.43584020112765987,-0.35725338506373683,-1.6412533256339737e-06,-1.5902844916989447e-06,0.9985809794523578,0.05325436574354224
26,121.202,19.542039618852186,0.5242087864340468,-0.35724494678939145,2.2374534797526903e-07,8.367646431235377e-07,0.9985852974640529,0.05317333624928025
27,121.449,18.69190222583913,0.6151331285797341,-0.35724803200115174,-2.8824882642071865e-07,-1.5717721320660883e-06,0.9985791979987159,0.053287759585931384
28,121.696,17.851520771167348,0.705236753458937,-0.3572452037824885,-4.7313924572693614e-07,6.75990790749386e-07,0.9985665810913602,0.05352366884688698
29,121.943,17.03166290987795,0.7934987354346963,-0.35724876622021684,7.348234675585451e-07,-1.8182767928088732e-06,0.9985515296353967,0.05380374205353459
30,122.19,16.23205274509452,0.8800569730079386,-0.35724962865337473,4.316452510396933e-06,-2.2585398827905093e-06,0.9985481936928138,0.05386561843222741
31,122.456,15.450012108095025,0.964774550359,-0.35724580013534346,-2.6237504298638793e-07,-1.2341890457461131e-06,0.9985425918087504,0.05396936484962202
32,122.689,14.680923222738256,1.048299282067894,-0.3572486063695609,2.8508620178309443e-06,3.883757299016457e-06,0.9985238985436958,0.05431412352131182
33,122.954,13.920618318742603,1.1310807758935655,-0.3572452717810427,1.2371405149598376e-06,-3.013933686244409e-08,0.9985201595139674,0.054382819370365425
34,123.201,13.1659081266728,1.2137381410249912,-0.357247220205701,-4.1782347778867167e-07,-1.7892903559140227e-06,0.9985057672253158,0.054646434599227287
35,123.448,12.414632510746362,1.296391239941561,-0.3572503482643765,-8.35883302297558e-07,5.416740184710512e-06,0.9984841397185568,0.05504019168256716
