,time,target,direction.x,direction.y,direction.z
0,114.689,drone1,-0.7045513343271159,0.7096528486571657,-0.0005016878016117685
1,114.712,drone2,-0.9999695967224945,0.0037434831103796695,0.006840465251282328
2,114.735,drone4,0.004469000020998994,0.9999898887371437,-0.0005004620740765112
3,114.758,rover5,-0.9972353071242291,0.06867140803610167,-0.02838978589534703
4,114.781,rover6,0.9698431498285188,0.24018935507700498,-0.041392492536567044
5,114.804,rover7,0.704983509860716,-0.708083047894748,-0.040207562827781214
6,114.827,landmark1,-0.8546778706166938,-0.5121563346940946,-0.08498015245234908
7,114.85,landmark2,0.9682028536364762,0.24286361393804665,-0.06000416014857204
8,114.873,landmark3,0.0010415965387320853,0.9980847533917246,-0.06185256763975648
9,114.896,landmark4,0.5804341664374457,0.8122731502020484,-0.05751963050044738
10,114.949,drone1,-0.7043429209036605,0.7098595486932231,-0.0006862229621658337
11,114.972,drone2,-0.9999551672770577,0.003972556216906266,0.008595477474528835
12,114.995,drone4,0.00502030281309479,0.9999873604271949,-0.0002748554458210605
13,115.018,rover5,-0.9969375458758206,0.06867003973171998,-0.03741597608428827
14,115.041,rover6,0.969228719581544,0.2400457022119413,-0.05453210052709343
15,115.064,rover7,0.7045824113200838,-0.7076421222408072,-0.052974073742752266
16,115.087,landmark1,-0.8504126744208056,-0.5095827155295103,-0.13085770599404095
17,115.11,landmark2,0.9657737673704908,0.24228888490738845,-0.09261277724667982
18,115.133,landmark3,0.0011039217640310109,0.995433343578064,-0.09545281478162322
19,115.156,landmark4,0.5791173718919839,0.8103939460634418,-0.08879595574487097
20,115.197,drone1,-0.7042219816935277,0.7099792536476127,-0.0009273023345042436
21,115.22,drone2,-0.9999396774909947,0.004076247216138904,0.010199293497027938
22,115.243,drone4,-0.016031943094439123,0.9998714774548088,-7.330043961448896e-05
23,115.266,rover5,-0.9964764171069604,0.06864998565075024,-0.04818640492739407
24,115.289,rover6,0.9682795904100352,0.23980821626934556,-0.07019012897188001
25,115.312,rover7,0.7039447619484077,-0.7069738230493499,-0.06818933676452635
26,115.335,landmark1,-0.8430430811611015,-0.5051877138779606,-0.18456363957496116
27,115.358,landmark2,0.9615606592528907,0.24123924883822445,-0.13116677703258342
28,115.381,landmark3,0.0011645948306515585,0.9908233324531484,-0.1351583056468163
29,115.404,landmark4,0.5768245213923453,0.8071220966202673,-0.12580696589535778
30,115.443,drone1,-0.7040818486686042,0.7101179664059408,-0.001106418949526321
31,115.466,drone2,-0.9999384991532522,0.004198651797128446,0.010264951740166834
32,115.489,drone4,-0.07228630898604135,0.997375752365782,0.004037093752320509
33,115.512,rover5,-0.9958358934098717,0.0686213541129898,-0.060016524026822816
34,115.535,rover6,0.966963703956404,0.23947988170301732,-0.08735319965760223
35,115.558,rover7,0.7030658324426725,-0.7060419738333834,-0.08487147010127671
36,115.581,landmark1,-0.8323064541744636,-0.4987959248601288,-0.2418027950261541
37,115.604,landmark2,0.9553336008604002,0.23968407048277807,-0.1728850989064939
38,115.627,landmark3,0.0012664235673722638,0.9840136439372822,-0.17808858671071387
39,115.65,landmark4,0.5734382883856252,0.8022731596368728,-0.16591053836219477
40,115.69,drone1,-0.7038863357027273,0.7103116179395564,-0.001196591441149519
41,115.713,drone2,-0.9999485988115403,0.004381142966638497,0.009143594541719263
42,115.736,drone4,-0.1460082577448579,0.9889730370351146,0.024777422946163863
43,115.759,rover5,-0.9951029278457927,0.0685905665797894,-0.0711723061941535
44,115.782,rover6,0.9654623081366155,0.2391054964164221,-0.10349441120647594
45,115.805,rover7,0.7020710958920293,-0.7049699636646283,-0.100566031261344
46,115.828,landmark1,-0.8199002709961786,-0.4914265522207607,-0.2937064680813292
47,115.851,landmark2,0.9480063130343878,0.23785231242923224,-0.211448121105422
48,115.874,landmark3,0.0014150591689139267,0.9760069340642391,-0.21773484394114012
49,115.897,landmark4,0.5694615771559228,0.7965455934604916,-0.20304834321353704
50,115.956,drone1,-0.703644863191619,0.7105507501278868,-0.0012401599674804575
51,115.979,drone2,-0.999960122343664,0.00460437617757364,0.007652022115735484
52,116.002,drone4,-0.22144375821103957,0.9728899520066312,0.06669185283005281
53,116.025,rover5,-0.9943724664825758,0.06856112242563843,-0.08076367000759142
54,116.048,rover6,0.963971571494433,0.2387306882751554,-0.1173305920304832
55,116.071,rover7,0.7010903900737538,-0.7038967459232142,-0.11402471672818074
56,116.094,landmark1,-0.807672584202541,-0.4841905290957252,-0.3364885261960517
57,116.117,landmark2,0.9406509631968585,0.23600580596543266,-0.24387911962164577
58,116.14,landmark3,0.0015991462463417335,0.9679731149973461,-0.25104878285627635
59,116.163,landmark4,0.5654815301284406,0.7907675943166443,-0.23434429982883007
60,116.203,drone1,-0.7033543203817776,0.7108383440434489,-0.0012444427889684642
61,116.226,drone2,-0.9999685819374499,0.00486042410040165,0.0062619019131300345
62,116.249,drone4,-0.2905193801808815,0.9482797937871977,0.12792154796681582
63,116.272,rover5,-0.9937133947935523,0.06853591245590858,-0.08852410808197872
64,116.295,rover6,0.962632475506988,0.23838800797142679,-0.12849075746801036
65,116.318,rover7,0.7002184136284497,-0.7029209956182734,-0.12488493557940708
66,116.341,landmark1,-0.7968444645004523,-0.47782559229961324,-0.3697588440301477
67,116.364,landmark2,0.9340382628233549,0.23433234549023643,-0.2695568130078965
68,116.387,landmark3,0.0018167885225958693,0.96074871957598,-0.2774141256543713
69,116.41,landmark4,0.5619264387983346,0.7855361645431597,-0.2591748667873555
70,116.45,drone1,-0.7030393756445995,0.7111498862068599,-0.0012147597383588321
