Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
114.829,368,114,829000000,base_link,8.558398550881166e-06,-0.0009527288895928468,-0.7505234454811522,0.660843135711885,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002495796652510762,-0.00028803956229239724,-0.0018367936136201024,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.188958570752981e-15,9.7085835,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.089,369,115,89000000,base_link,9.849329127129645e-06,-0.0009502563225822432,-0.7505937939714965,0.6607632354840778,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00022078212350606918,-0.0002655596472322943,-0.0018508629873394966,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1853556659931232e-15,9.67916355,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.329,370,115,329000000,base_link,8.527662355861693e-06,-0.000945688157751854,-0.7506574419247879,0.6606909341622003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002139342250302434,-0.00028934841975569747,-0.0018375399522483349,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.2045711580456967e-15,9.83606995,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.589,371,115,589000000,base_link,5.332379874697642e-06,-0.0009450759504491327,-0.7507274563617751,0.6606113782456313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00021375739015638828,-0.0003019488649442794,-0.001847519539296627,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1325130628485461e-15,9.24767095,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.829,372,115,829000000,base_link,4.877450144645865e-06,-0.0009429146514832673,-0.7507927401253286,0.6605371846181496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002227163640782237,-0.0002803498646244409,-0.0018414899241179228,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.09,373,116,90000000,base_link,1.6685162770554197e-06,-0.0009424923808349227,-0.7508639977327815,0.6604561822059609,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00021357752848416567,-0.00030927720945328496,-0.0018377776723355055,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1901595390062667e-15,9.71839015,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.33,374,116,330000000,base_link,1.4889920403645833e-06,-0.0009414302045487304,-0.7509278476907446,0.6603835864628214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002467710291966796,-0.00028387387283146403,-0.0018319885712116957,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1781498564734082e-15,9.62032365,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.59,375,116,590000000,base_link,-5.823798759342793e-08,-0.0009385120802175232,-0.7509986198682869,0.6603031062709004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000218841596506536,-0.00029009219724684975,-0.0018416985403746367,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1937624437661242e-15,9.7478101,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.83,376,116,830000000,base_link,-1.6782326608623168e-06,-0.0009333520241304425,-0.7510618306500563,0.6602312135848841,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00018870597705245018,-0.0002912683412432673,-0.0018048936035484076,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.164939205687264e-15,9.5124505,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.09,377,117,90000000,base_link,-1.8650315610557085e-06,-0.0009315228968911087,-0.7511324277543123,0.6601508980812848,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002260798355564475,-0.0002848790027201178,-0.001824629376642406,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1709440469536932e-15,9.56148375,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.33,378,117,330000000,base_link,-5.555314807345124e-06,-0.0009318815615576137,-0.7511978984752069,0.6600763962544993,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00021690817084163427,-0.0003107611555606129,-0.0018360901158303022,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1229053168222594e-15,9.16921775,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.59,379,117,590000000,base_link,-6.871099785875643e-06,-0.0009278228243758334,-0.7512689539088464,0.6599955287653864,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002189768711104989,-0.0002823062241077425,-0.0018134491983801126,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1337140311018321e-15,9.2574776,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.83,380,117,830000000,base_link,-6.717459155988152e-06,-0.0009242613707686935,-0.7513337066131885,0.6599218188563563,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002023829147219658,-0.00028229341842234156,-0.0018427192699164152,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1277091898354029e-15,9.20844435,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
118.09,381,118,90000000,base_link,-7.092430511193923e-06,-0.0009216021127001217,-0.7514037997143922,0.6598420116770505,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002306716050952673,-0.0002872290788218381,-0.00182990706525743,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.2442031104041293e-15,10.1596894,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
118.33,382,118,330000000,base_link,-1.1330523675351186e-05,-0.000920487609512294,-0.7514450954848644,0.6597949841018217,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002037863014265895,-0.00033901364076882617,-0.0014529259642586112,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.12748645,1.1613363009274065e-15,9.48303055,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
118.59,383,118,590000000,base_link,-6.18228494741808e-06,-0.0009117593605541725,-0.7514614668767903,0.6597763503309516,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00021952891256660223,-0.000306137138977647,-0.0011146478354930878,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.95124505,1.143321777128119e-15,9.3359308,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
118.83,384,118,830000000,base_link,3.7539516619560114e-05,-0.0008686263200831989,-0.7514539734575856,0.6597849421242553,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00023003073874861002,-0.00023235660046339046,-0.0008579397690482438,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,1.2552512,1.1481256501412623e-15,9.3751574,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
119.091,385,119,91000000,base_link,0.00014462626581039783,-0.0007595256081622287,-0.7514040787924804,0.6598418845284963,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0001874708104878664,-0.00032047252170741563,-0.00038599394611082966,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,1.34351105,-0.01961329999999881,9.7281968,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
119.331,386,119,331000000,base_link,0.000266201679376793,-0.0006206882785360981,-0.7513408915742595,0.6599139402460927,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00018858537077903748,-0.00022817635908722886,-0.0007643107092007995,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,1.2748645,1.1481256501412623e-15,9.3751574,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
119.591,387,119,591000000,base_link,0.0004542105011868517,-0.00039486237962936646,-0.7512821221639292,0.6599809169160761,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00021581642795354128,-0.00013102358207106604,-0.001082448405213654,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,1.176798,0.009806650000001168,9.5320638,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
119.831,388,119,831000000,base_link,0.0005969002196121602,-0.0002234261034311399,-0.7511784814392347,0.6600988432148245,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00020847260020673275,-0.00021524133626371628,-0.0005243986379355192,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,1.1571847,1.2586147294435593e-15,10.2773692,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
120.091,389,120,91000000,base_link,0.0007394403563285131,-2.5577946740560266e-05,-0.7510639920621737,0.6602289999699795,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00016429543029516935,-0.00020445196423679606,-0.0013615841744467616,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,1.1179581,1.1829537294865517e-15,9.65955025,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
