,time,pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w
0,114.689,19.9577142582253,-20.040685496925278,-0.35724882241894684,-2.0348963922257515e-06,1.2350368070261416e-06,0.9214594594557695,0.38847453529647924]
1,114.949,19.957651261882823,-20.040758418610192,-0.35724883443464106,-2.034242179726952e-06,1.2353082312724718e-06,0.9214693879931922,0.3884509840195902]
2,115.197,19.957588350887818,-20.040831268741677,-0.3572488464640004,-2.033587548330289e-06,1.2355792791271032e-06,0.9214792557916576,0.38842757515396736]
3,115.443,19.95752552486896,-20.04090404762761,-0.3572488585069462,-2.0329325037594276e-06,1.2358499603268135e-06,0.9214890629064116,0.38840430859891795]
4,115.69,19.957462783454286,-20.040976755577972,-0.3572488705634037,-2.0322770603694514e-06,1.236120287715236e-06,0.9214988093968034,0.38838118424379914]
5,115.956,19.957400126271132,-20.0410493929047,-0.3572488826332947,-2.0316212248730166e-06,1.2363902708353534e-06,0.921508495326196,0.38835820196822696]
6,116.203,19.95733755294612,-20.041121959921806,-0.35724889471653876,-2.0309650012289574e-06,1.2366599167768216e-06,0.9215181207619203,0.3883353616421829]
7,116.45,19.957275063105175,-20.041194456945302,-0.35724890681305893,-2.0303083999404687e-06,1.2369292360831985e-06,0.9215276857752519,0.3883126631260644]
8,116.697,19.957212656373564,-20.04126688429318,-0.35724891892277977,-2.0296514337024314e-06,1.2371982394189093e-06,0.9215371904411783,0.38829010627123817]
9,116.944,19.95715033237579,-20.041339242285392,-0.35724893104562044,-2.0289941065789644e-06,1.2374669332823184e-06,0.9215466348384147,0.388267690919996]
10,117.191,19.957088090735702,-20.041411531243863,-0.357248943181503,-2.0283364265837975e-06,1.2377353257526573e-06,0.9215560190493095,0.3882454169057795]
11,117.439,19.957025931076366,-20.0414837514924,-0.3572489553303523,-2.0276784083563913e-06,1.2380034275394108e-06,0.9215653431597647,0.38822328405336654]
12,117.705,19.956963853020124,-20.04155590335676,-0.35724896749208856,-2.0270200577549715e-06,1.238271244671494e-06,0.9215746072591675,0.3882012921790309]
13,117.952,19.95690185618858,-20.04162798716449,-0.3572489796666342,-2.0263613848968337e-06,1.2385387852740171e-06,0.9215838114402726,0.38817944109081864]
14,118.199,19.9568399402026,-20.041700003245083,-0.3572489918539099,-2.0257023966351135e-06,1.2388060550714376e-06,0.9215929557991318,0.38815773058871483]
15,118.446,19.956778104682257,-20.041771951929835,-0.35724900405384047,-2.0250431077223652e-06,1.2390730637732798e-06,0.9216020404350834,0.3881361604646686]
16,118.693,19.956716349246864,-20.041843833551898,-0.35724901626634276,-2.024383518663368e-06,1.2393398136664176e-06,0.9216110654505587,0.3881147305030458]
17,118.941,19.946339950881622,-20.031357014259022,-0.3572486282127602,-2.1015388672088497e-06,1.2737949559871807e-06,0.9216449289486559,0.3880343089691788]
18,119.189,19.89520446425875,-19.979160541748108,-0.357247567367777,-3.4086826152260174e-06,1.5210599527717441e-06,0.9216708340380587,0.38797277439229755]
19,119.454,19.790205724730175,-19.871779854498254,-0.35724505684281227,-8.313521927985834e-07,1.7962156980005284e-07,0.9215947582604509,0.3881534510295351]
20,119.7,19.628158882301545,-19.705883095925508,-0.35725058518330977,-1.7721531853254344e-06,3.4248901902531245e-07,0.9214920617909048,0.3883971936730359]
21,119.946,19.410050178117896,-19.482217387580175,-0.3572457261146967,-1.2138774434829665e-06,7.864787341401348e-07,0.9215445055805245,0.3882727446425446]
22,120.193,19.13761310359282,-19.203252353174427,-0.35724801176390675,-3.3170979949560593e-06,1.6335754507314305e-06,0.9216285313749929,0.38807325357708194]
23,120.442,18.81339755437345,-18.871393298314853,-0.3572481899021285,9.207028235962118e-07,7.13308442621536e-07,0.9215706109278422,0.38821077918152586]
24,120.689,18.439676431283537,-18.488684763856106,-0.3572480961207259,2.121403245511836e-06,-5.316523560376568e-07,0.9216601585252577,0.38799813425120194]
25,120.955,18.017999352633815,-18.05715920652599,-0.3572482756817278,-3.6522546772261514e-08,6.512446599834981e-07,0.921613524854955,0.38810889039546614]
26,121.202,17.55040310350971,-17.57856542755631,-0.35725090460147546,-4.732318840718371e-06,1.782256942564175e-06,0.9216695991768131,0.3879757079092475]
27,121.449,17.037421627003894,-17.05345642704855,-0.35725141247554754,-1.7904575500989942e-07,-2.939920646501832e-07,0.9216566287319405,0.3880065189070352]
28,121.696,16.479755051553518,-16.48277590185896,-0.3572485742114382,5.379771498043284e-07,3.147241365989888e-07,0.9216118162914427,0.3881129475701622]
29,121.943,15.88710694131116,-15.876087266853842,-0.35724492417479525,-3.2943672188594276e-07,-5.307125095672247e-08,0.9216029616206266,0.3881339731741844]
