Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
114.817,369,114,823960361,base_link,-0.0025638787765494037,-0.00038794844249217186,-0.6679259988789306,-0.7442231762335866,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001485425978899002,0.0035528489388525425,-0.051051899790763855,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.2970457135487062e-15,10.591182,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.067,370,115,74047428,base_link,-0.002090285264715128,-0.000430794104252621,-0.6645429010077445,-0.7472470661328574,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0027525518089532852,0.002977119991555806,-0.031376130878925323,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.3006486183085637e-15,10.62060195,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.317,371,115,324104032,base_link,-0.0017758968767548507,-0.0002976987703239335,-0.6626834862256187,-0.748897425986754,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.005371280945837498,0.0004204906290397028,-0.016236810013651848,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.3090553960815646e-15,10.6892485,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.567,372,115,574187918,base_link,-0.0016738326753538292,-0.0002284458885331148,-0.6617108387002049,-0.7497572354057828,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0007990484591573477,-0.0006630666321143519,-0.008938167244195938,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.2189827770851268e-15,9.95374975,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.818,373,115,825245655,base_link,-0.0017291401959706448,-0.00021706763115643483,-0.6612465386504386,-0.7501666335412687,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0033176466822624207,-6.273202598094952e-05,-0.0009706317214295268,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1277091898354029e-15,9.20844435,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.068,374,116,75330494,base_link,-0.0018030442504809784,-7.04087915674397e-05,-0.6610824883777549,-0.7503110605837479,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00018244667444378138,-0.0017720604082569482,-0.001574847614392638,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.097684983503257e-15,8.9632781,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.318,375,116,325384872,base_link,-0.0019318937564684752,8.683190594384255e-05,-0.6611032125319224,-0.7502924780555285,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0022633736953139305,-1.1626398190860084e-06,-0.0033516143448650837,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.0916801422368277e-15,8.91424485,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.568,376,116,574470681,base_link,-0.0020533674196185872,1.897077961474986e-05,-0.6701416745035965,-0.7422303681579359,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003228115849196911,0.0001356470165774225,-0.0008244611090049148,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.090479173983542e-15,8.9044382,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.818,377,116,824526208,base_link,-0.03268676072446319,-0.02878578733374773,-0.6421966918010961,-0.7653014851420621,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.525283932685852,0.026840139180421753,-0.6221261620521545,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1012878882631146e-15,8.99269805,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.068,378,117,74612621,base_link,-0.0779556655797776,-0.0867216966351083,-0.5626006497316737,-0.8184636647147145,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5787810683250427,0.1398072987794875,-0.8355042338371277,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.009806650000001128,9.218251,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
