Time,header.seq,header.frame_id,child_frame_id,pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
114.829,368,map,base_link,0.01817834638302429,0.02219155207279755,583.612,8.558398550881166e-06,-0.0009527288895928468,-0.7505234454811522,0.660843135711885,-0.01,0.02,0.1
115.089,369,map,base_link,0.018178346592605976,0.02219155187992783,583.584,9.849329127129645e-06,-0.0009502563225822432,-0.7505937939714965,0.6607632354840778,-0.01,0.02,0.08
115.329,370,map,base_link,0.018178346491623643,0.02219155179068366,583.564,8.527662355861693e-06,-0.000945688157751854,-0.7506574419247879,0.6606909341622003,-0.01,0.02,0.11
115.589,371,map,base_link,0.018178346313078464,0.02219155148009122,583.544,5.332379874697642e-06,-0.0009450759504491327,-0.7507274563617751,0.6606113782456313,-0.01,0.02,0.11
115.829,372,map,base_link,0.01817834668943874,0.022191551473895288,583.523,4.877450144645865e-06,-0.0009429146514832673,-0.7507927401253286,0.6605371846181496,-0.01,0.02,0.14
116.09,373,map,base_link,0.01817834649921224,0.022191551419155076,583.496,1.6685162770554197e-06,-0.0009424923808349227,-0.7508639977327815,0.6604561822059609,-0.01,0.02,0.1
116.33,374,map,base_link,0.018178346398201484,0.022191551329910908,583.473,1.4889920403645833e-06,-0.0009414302045487304,-0.7509278476907446,0.6603835864628214,-0.01,0.02,0.11
116.59,375,map,base_link,0.018178346308957316,0.022191551364471707,583.461,-5.823798759342793e-08,-0.0009385120802175232,-0.7509986198682869,0.6603031062709004,-0.01,0.02,0.13
116.83,376,map,base_link,0.01817834629721915,0.022191551620323935,583.457,-1.6782326608623168e-06,-0.0009333520241304425,-0.7510618306500563,0.6602312135848841,-0.01,0.02,0.1
117.09,377,map,base_link,0.01817834629721915,0.022191551620323935,583.455,-1.8650315610557085e-06,-0.0009315228968911087,-0.7511324277543123,0.6601508980812848,-0.01,0.02,0.13
117.33,378,map,base_link,0.01817834629721915,0.022191551620323935,583.454,-5.555314807345124e-06,-0.0009318815615576137,-0.7511978984752069,0.6600763962544993,-0.01,0.02,0.12
117.59,379,map,base_link,0.01817834629721915,0.022191551620323935,583.457,-6.871099785875643e-06,-0.0009278228243758334,-0.7512689539088464,0.6599955287653864,-0.01,0.02,0.07
117.83,380,map,base_link,0.018178346398201484,0.022191551329910908,583.471,-6.717459155988152e-06,-0.0009242613707686935,-0.7513337066131885,0.6599218188563563,-0.01,0.02,0.02
118.09,381,map,base_link,0.01817834649921224,0.022191551419155076,583.495,-7.092430511193923e-06,-0.0009216021127001217,-0.7514037997143922,0.6598420116770505,-0.01,0.01,-0.02
118.331,382,map,base_link,0.018178346301766624,0.011095777011746577,583.514,-1.1330523675351186e-05,-0.000920487609512294,-0.7514450954848644,0.6597949841018217,-0.04,-0.14,-0.01
118.59,383,map,base_link,0.009089174309508508,-0.07767043025467046,583.531,-6.18228494741808e-06,-0.0009117593605541725,-0.7514614668767903,0.6597763503309516,-0.08,-0.46,0.01
118.83,384,map,base_link,-0.009089171965428022,-0.24410707012532384,583.531,3.7539516619560114e-05,-0.0008686263200831989,-0.7514539734575856,0.6597849421242553,-0.12,-0.78,0.07
119.091,385,map,base_link,-0.04544585992550765,-0.521501465666006,583.515,0.00014462626581039783,-0.0007595256081622287,-0.7514040787924804,0.6598418845284963,-0.16,-1.13,0.12
119.331,386,map,base_link,-0.08180254437567669,-0.8654705139977636,583.486,0.000266201679376793,-0.0006206882785360981,-0.7513408915742595,0.6599139402460927,-0.2,-1.46,0.06
119.591,387,map,base_link,-0.13633756607055147,-1.3314930979382211,583.476,0.0004542105011868517,-0.00039486237962936646,-0.7512821221639292,0.6599809169160761,-0.24,-1.79,0.05
119.831,388,map,base_link,-0.19087258139018104,-1.8308030096241623,583.469,0.0005969002196121602,-0.0002234261034311399,-0.7511784814392347,0.6600988432148245,-0.28,-2.08,0.08
120.091,389,map,base_link,-0.2635859289397331,-2.4521664573685484,583.463,0.0007394403563285131,-2.5577946740560266e-05,-0.7510639920621737,0.6602289999699795,-0.31,-2.39,0.1
120.331,390,map,base_link,-0.3362992618056637,-3.0957214483960342,583.449,0.000868472644662342,0.00014574976096548174,-0.7509262045175467,0.6603855388189116,-0.34,-2.67,0.13
120.591,391,map,base_link,-0.41810174934579436,-3.861329975855938,583.437,0.0009471830691656309,0.00030903325578680337,-0.7507837809601612,0.6605472894425084,-0.37,-2.96,0.12
120.831,392,map,base_link,-0.499904223132404,-4.626938504060263,583.429,0.0010079716578594007,0.0004438049138964497,-0.7506411481195308,0.6607092051577063,-0.39,-3.21,0.11
121.091,393,map,base_link,-0.5907958404013982,-5.514600564530667,583.411,0.001074401616017565,0.0005490112081560255,-0.7504464012880957,0.6609302104168089,-0.42,-3.47,0.13
121.331,394,map,base_link,-0.6816874412136542,-6.368975288112665,583.393,0.0010694951212491003,0.0005884581205588902,-0.7503540190100665,0.661035064162762,-0.42,-3.54,0.14
121.591,395,map,base_link,-0.7725790194842546,-7.289924673849896,583.38,0.0010332501430711156,0.0006182401839001646,-0.7503089992119335,0.6610861939829056,-0.4,-3.5,0.13
121.831,396,map,base_link,-0.8543814260007139,-8.122107864161364,583.383,0.0009619697076322076,0.0005989355086827458,-0.7502780554825105,0.6611214376738368,-0.39,-3.41,0.1
122.092,397,map,base_link,-0.9452729773202861,-8.976482608614617,583.382,0.0008113446836700058,0.0005117637067503284,-0.7503329999613232,0.6610593536035578,-0.37,-3.32,0.13
