,time,target,true_distance,noise,sensor_output
0,114.689,drone1,28.297334717451587,0.10184582085248968,28.399180538304076
1,114.712,drone2,25.020851426614612,-0.053624524168066526,24.967226902446544
2,114.735,drone3,21.228967782429617,0.14929185193917358,21.378259634368792
3,114.758,drone4,25.006112996474503,-0.08426726802317218,24.92184572845133
4,114.781,rover5,48.09032042319981,-0.06718965827121402,48.0231307649286
5,114.804,rover6,20.608919151627422,0.1956651649045695,20.80458431653199
6,114.827,landmark1,23.311286802104167,0.023919004620362373,23.33520580672453
7,114.85,landmark2,18.40984455733809,-0.01910601720297815,18.39073854013511
8,114.873,landmark3,27.472423095170527,-0.12066158539208027,27.351761509778445
9,114.896,landmark4,24.188334319335745,-0.008590477367897106,24.17974384196785
10,114.949,drone1,28.30730607679659,0.07933969427176307,28.386645771068352
11,114.972,drone2,25.034063100906682,0.012474489190841485,25.046537590097522
12,114.995,drone3,21.241707354686255,-0.024572303326120523,21.217135051360135
13,115.018,drone4,25.01488937415994,-0.027634041273420458,24.98725533288652
14,115.041,rover5,48.09030525792269,0.05625747494236532,48.14656273286505
15,115.064,rover6,20.608883078981798,0.1310631778459373,20.739946256827736
16,115.087,landmark1,23.31127053414228,-0.1077608377942908,23.20350969634799
17,115.11,landmark2,18.409888247708587,0.08794919361522124,18.497837441323806
18,115.133,landmark3,27.47244995457388,-0.15630274083138385,27.316147213742497
19,115.156,landmark4,24.188374832768687,-0.051686488615388576,24.1366883441533
20,115.197,drone1,28.322078514957095,-0.05202506889416569,28.270053446062928
21,115.22,drone2,25.05249580353228,0.12571756850493085,25.178213372037213
22,115.243,drone3,21.261614953930795,0.0838492137430659,21.34546416767386
23,115.266,drone4,25.093618953955605,-0.18124169309370342,24.912377260861902
24,115.289,rover5,48.090290117134195,0.14973463169000864,48.240024748824204
25,115.312,rover6,20.608846924380433,0.14180338531352926,20.750650309693963
26,115.335,landmark1,23.3112543026775,0.05993491006829275,23.371189212745794
27,115.358,landmark2,18.409931904502898,-0.025734258851556138,18.38419764565134
28,115.381,landmark3,27.472476800746215,-0.10878138964430531,27.363695411101908
29,115.404,landmark4,24.18841531645216,-0.1442124024487161,24.044202914003446
30,115.443,drone1,28.342275195868016,-0.08724538404175539,28.25502981182626
31,115.466,drone2,25.076779131479704,0.07910830314460479,25.155887434624308
32,115.489,drone3,21.289377629429378,0.17838164121945732,21.467759270648834
33,115.512,drone4,25.28438081718816,-0.01836689809343425,25.26601391909473
34,115.535,rover5,48.09027500059625,-0.00038419096720483767,48.08989080962905
35,115.558,rover6,20.608810688239377,0.03767074609238683,20.646481434331765
36,115.581,landmark1,23.31123810754966,-0.1180418884457648,23.193196219103896
37,115.604,landmark2,18.409975527864198,0.021317888261546337,18.431293416125744
38,115.627,landmark3,27.472503633742473,0.1611305359485542,27.633634169691028
39,115.65,landmark4,24.188455770512686,0.12520999339973135,24.313665763912418
40,115.69,drone1,28.365318996036788,0.1034780645316828,28.46879706056847
41,115.713,drone2,25.10388334188515,0.048832596051169457,25.15271593793632
42,115.736,drone3,21.32131100033846,-0.04686655664901618,21.274444443689447
43,115.759,drone4,25.545294259578085,0.24544541675725207,25.79073967633534
44,115.782,rover5,48.09025990806916,-0.03257550449672314,48.05768440357243
45,115.805,rover6,20.608774370974178,-0.11684538621910326,20.491928984755074
46,115.828,landmark1,23.31122194859915,-0.13064853414744668,23.180573414451704
47,115.851,landmark2,18.41001911793736,-0.17059587200551407,18.239423245931846
48,115.874,landmark3,27.472530453618997,0.0033711742393402314,27.475901627858338
49,115.897,landmark4,24.188496195078447,-0.06514528783731503,24.123350907241132
50,115.956,drone1,28.388232270018605,-0.13577566902239666,28.252456600996208
51,115.979,drone2,25.130647739475247,-0.08492277136960012,25.045724968105645
52,116.002,drone3,21.35335774196068,0.04062261280403686,21.393980354764714
53,116.025,drone4,25.841264968004662,0.200020535500573,26.041285503505236
54,116.048,rover5,48.090244839315105,0.2901171459533254,48.38036198526843
55,116.071,rover6,20.608737973005095,-0.1115822442692937,20.4971557287358
56,116.094,landmark1,23.31120582566677,0.09202537162090138,23.403231197287674
57,116.117,landmark2,18.410062674868815,-0.07944098663300098,18.330621688235816
58,116.14,landmark3,27.47255726043341,0.10835116592945115,27.58090842636286
59,116.163,landmark4,24.188536590279117,-0.06206257200898843,24.12647401827013
60,116.203,drone1,28.408856748022902,0.06858354705959734,28.4774402950825
61,116.226,drone2,25.154851152378505,0.13430748700206915,25.289158639380574
62,116.249,drone3,21.382594173676406,-0.0821120834963229,21.300482090180083
63,116.272,drone4,26.15533492710094,-0.05570278565942771,26.099632141441514
64,116.295,rover5,48.0902297940946,-0.0514661011718942,48.0387636929227
65,116.318,rover6,20.608701494751955,-0.09463137226607257,20.514070122485883
66,116.341,landmark1,23.3111897385938,-0.02858131218761464,23.282608426406185
67,116.364,landmark2,18.41010619880667,0.0411458066974059,18.451252005504074
68,116.387,landmark3,27.472584054244688,0.16921267420474614,27.641796728449435
69,116.41,landmark4,24.188576956245992,-0.2097117855335543,23.97886517071244
70,116.45,drone1,28.425930165908415,-0.048649387522509115,28.377280778385906
71,116.473,drone2,25.17835804139792,-0.07332358480285407,25.105034456595067
72,116.496,drone3,21.40696214340337,0.10943285151526622,21.516394994918635
73,116.519,drone4,26.482686824407057,-0.13913381250227488,26.34355301190478
74,116.542,rover5,48.090214772169894,0.05103651752648748,48.141251289696385
75,116.565,rover6,20.60866493663927,0.08401740607467552,20.692682342713944
76,116.588,landmark1,23.311173687221952,0.11179556818829091,23.422969255410244
