,time,target,direction.x,direction.y,direction.z
0,114.689,drone1,-0.7049851939728538,0.708585597804887,0.0300387560086747
1,114.712,drone2,-0.7980676890859744,0.6015222425012191,0.03548176169917621
2,114.735,drone3,-0.704983509860716,0.708083047894748,0.040207562827781214
3,114.758,drone4,-0.5976029964138728,0.8010694929178376,0.03403419153614656
4,114.781,rover5,-0.9346729418368852,0.35550877879171233,8.807124482511377e-08
5,114.804,rover6,0.24422481088453257,0.9697186405078393,2.055293524184811e-07
6,114.827,landmark1,-0.8561395356529113,0.5165174106063696,0.01532514380058591
7,114.85,landmark2,-0.3779344380967075,0.9256289722518558,0.019405314439580577
8,114.873,landmark3,-0.5444628675966616,0.8386841385307465,0.013003906542257235
9,114.896,landmark4,-0.4116742445661201,0.9112113800786327,0.014769467698872017
10,114.949,drone1,-0.7047130756955927,0.7083875329226522,0.039580097819687216
11,114.972,drone2,-0.7977069087499113,0.6012369482315111,0.04666711705172842
12,114.995,drone3,-0.7045824113200838,0.7076421222408072,0.052974073742752266
13,115.018,drone4,-0.5973016595869073,0.8007572305245204,0.04492866810207444
14,115.041,rover5,-0.9346713786115017,0.3555128886615321,8.831400927313839e-08
15,115.064,rover6,0.2442270071426193,0.9697180873749425,2.0609617037144306e-07
16,115.087,landmark1,-0.8561374307184303,0.5165208992352001,0.015325155010809267
17,115.11,landmark2,-0.3779301193068794,0.9256307365543729,0.01940526903953947
18,115.133,landmark3,-0.5444600422101243,0.8386859729186309,0.013003894265904842
19,115.156,landmark4,-0.41167095064166553,0.9112128686194718,0.014769443458047695
20,115.197,drone1,-0.704329759750577,0.7080415241121455,0.05095870546476282
21,115.22,drone2,-0.7971435202792025,0.6008104654819127,0.059908201811503865
22,115.243,drone3,-0.7039447619484077,0.7069738230493499,0.06818933676452635
23,115.266,drone4,-0.5996400358960817,0.7981825720048001,0.05776165768351715
24,115.289,rover5,-0.9346698161197601,0.35551699654819036,8.855703751306018e-08
25,115.312,rover6,0.24422919892261624,0.9697175353645898,2.0666360642833485e-07
26,115.335,landmark1,-0.8561353281018221,0.516524383990727,0.015325166197640737
27,115.358,landmark2,-0.37792580586276103,0.9256324986500166,0.019405223675847523
28,115.381,landmark3,-0.5444572201979813,0.8386878051022993,0.013003881996336664
29,115.404,landmark4,-0.41166766076300126,0.9112143553178629,0.014769419236034512
30,115.443,drone1,-0.7038074554761645,0.7075492540158007,0.0634753397615999
31,115.466,drone2,-0.7963764813529879,0.600244557268064,0.07410108918160428
32,115.489,drone3,-0.7030658324426725,0.7060419738333834,0.08487147010127671
33,115.512,drone4,-0.6062912108758147,0.7919528646329416,0.07226083181375713
34,115.535,rover5,-0.9346682543587915,0.35552110245930785,8.880033758728397e-08
35,115.558,rover6,0.24423138623813287,0.9697169844733858,2.072316793637499e-07
36,115.581,landmark1,-0.8561332277930551,0.5165278648896817,0.01532517736118213
37,115.604,landmark2,-0.3779214977411828,0.9256342585483373,0.01940517834834905
38,115.627,landmark3,-0.5444544015456139,0.8386896350912899,0.013003869733523795
39,115.65,landmark4,-0.411664374912591,0.9112158401817828,0.01476939503275178
40,115.69,drone1,-0.7032066196395872,0.7069874584529479,0.07529398173364257
41,115.713,drone2,-0.7955159483708578,0.5996202614825505,0.08723484342401544
42,115.736,drone3,-0.7020710958920293,0.7049699636646283,0.100566031261344
43,115.759,drone4,-0.614808696678092,0.7836578741475598,0.08882906492535507
44,115.782,rover5,-0.9346666933256885,0.3555252064026055,8.904389842975533e-08
45,115.805,rover6,0.24423356910268373,0.9697164346979591,2.0780036334150146e-07
46,115.828,landmark1,-0.856131129782049,0.5165313419488742,0.015325188501535072
47,115.851,landmark2,-0.37791719491890446,0.9256360162589133,0.019405133056886775
48,115.874,landmark3,-0.5444515862383518,0.8386914628951753,0.013003857477436804
49,115.897,landmark4,-0.41166109307284277,0.9112173232192324,0.014769370848117958
50,115.956,drone1,-0.7026018935967755,0.7064327741274399,0.08545943337534315
51,115.979,drone2,-0.7946693207535913,0.5990128714444128,0.0984085895486018
52,116.002,drone3,-0.7010903900737538,0.7038967459232142,0.11402471672818074
53,116.025,drone4,-0.6232501416743405,0.774605689216068,0.10744899784090461
54,116.048,rover5,-0.9346651330175502,0.35552930838578845,8.928772777584181e-08
55,116.071,rover6,0.24423574752989613,0.9697158860349095,2.0836967643577775e-07
56,116.094,landmark1,-0.8561290340586785,0.5165348151851896,0.015325199618800772
57,116.117,landmark2,-0.3779128973726161,0.9256377717913515,0.019405087801301596
58,116.14,landmark3,-0.5444487742614741,0.8386932885235601,0.013003845228045536
59,116.163,landmark4,-0.4116578152261103,0.9112188044382376,0.014769346682050447
60,116.203,drone1,-0.7020457804183805,0.7059421309263869,0.09368793935112066
61,116.226,drone2,-0.793909152755418,0.5984757506210875,0.10740127135979452
62,116.249,drone3,-0.7002184136284497,0.7029209956182734,0.12488493557940708
63,116.272,drone4,-0.6308527683424072,0.7653027046971022,0.12781453304699347
64,116.295,rover5,-0.9346635734314377,0.35553340841665965,8.953181474533089e-08
65,116.318,rover6,0.24423792153330132,0.9697153384808602,2.0893959325728784e-07
66,116.341,landmark1,-0.8561269406127706,0.5165382846155909,0.01532521071308002
67,116.364,landmark2,-0.3779086050789371,0.9256395251552867,0.019405042581432545
68,116.387,landmark3,-0.5444459656002079,0.8386951119860823,0.013003832985319104
69,116.41,landmark4,-0.41165454135469226,0.9112202838468483,0.014769322534465577
70,116.45,drone1,-0.7015793501471883,0.7055483970349641,0.09993935605376694
71,116.473,drone2,-0.7931884028261867,0.5979674626322434,0.11526955910039478
