Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
114.829,368,114,829000000,base_link,0.00047056724792880815,-0.0009297877934753608,-0.9306398858091309,0.3659348534948431,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002913709031417966,-9.412120562046776e-05,-0.0007843764033168554,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0392266,1.1997672850325534e-15,9.79684335,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.089,369,115,89000000,base_link,0.00046688099449717523,-0.000925961871648,-0.9306313394395068,0.3659566021672222,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002603847533464432,-0.00010775437112897644,-0.0007995498599484563,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.04903325,1.1997672850325534e-15,9.79684335,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.329,370,115,329000000,base_link,0.0003583037347645154,-0.0009540666222757222,-0.930621672996732,0.3659812332949293,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00021213095169514418,-0.0009096304420381786,-0.0007773822871968149,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.00980665,1.2009682532858392e-15,9.80665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.589,371,115,589000000,base_link,0.00028108842887725237,-0.0009734728300581494,-0.9306113964271254,0.36600737995278193,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002460379619151354,-0.0002702503697946669,-0.0007974015898071229,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.24516625,-0.009806649999998807,9.7478101,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.829,372,115,829000000,base_link,0.00019347466855082823,-0.0009972222158760855,-0.9306016311957992,0.36603220094839023,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002402779646217823,-0.0005239516030997039,-0.0007889895932748913,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.2009682532858392e-15,9.80665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.09,373,116,90000000,base_link,0.00017977967538558307,-0.0009958157758978186,-0.9305909400187591,0.36605939188226205,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00026609585620462894,0.00011511764023452988,-0.0007951915613375604,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.02941995,1.1997672850325534e-15,9.79684335,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.334,374,116,330000000,base_link,8.412253756071765e-05,-0.0010236238935692219,-0.9305791515593622,0.36608931669823486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00024762179236859083,-0.0008400499355047942,-0.0007778473664075135,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.59,375,116,590000000,base_link,-7.5976968468469405e-06,-0.0010473924488813644,-0.930566879620262,0.36612045212626665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002300090854987502,-0.0006447606720030309,-0.0007913456065580248,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0196133,1.1997672850325534e-15,9.79684335,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.83,376,116,830000000,base_link,-6.317827885339694e-05,-0.0010574856891440191,-0.9305542360190986,0.3661525523049568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0001867606770247221,-0.0008927985327318312,-0.0007525134133175014,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.12748645,1.1973653485259817e-15,9.77723005,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.092,377,117,92000000,base_link,-0.0001482354826132198,-0.0010809670271799859,-0.9305413855597975,0.3661851161598192,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002229890087619424,-0.0009074951522052289,-0.0007730709621682762,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.10787315,1.1973653485259817e-15,9.77723005,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
